"date_time","date","day","field","harvest","hoppers","n_leaves","counter","plant"
2017-06-05 06:00:00,2017-06-05,1,"A","Y",0,30,NA,"1"
2017-06-05 06:00:00,2017-06-05,1,"A","Y",0,30,NA,"2"
2017-06-05 06:00:00,2017-06-05,1,"A","Y",2,30,NA,"3"
2017-06-05 06:00:00,2017-06-05,1,"A","Y",0,30,NA,"4"
2017-06-05 06:00:00,2017-06-05,1,"A","Y",1,30,NA,"5"
2017-06-05 06:00:00,2017-06-05,1,"A","Y",3,30,NA,"6"
2017-06-05 06:00:00,2017-06-05,1,"A","Y",2,30,NA,"7"
2017-06-05 06:00:00,2017-06-05,1,"A","Y",1,30,NA,"8"
2017-06-05 06:00:00,2017-06-05,1,"A","Y",1,30,NA,"9"
2017-06-05 06:00:00,2017-06-05,1,"A","Y",0,30,NA,"10"
2017-06-05 06:30:00,2017-06-05,1,"B","N",2,30,NA,"1"
2017-06-05 06:30:00,2017-06-05,1,"B","N",2,30,NA,"2"
2017-06-05 06:30:00,2017-06-05,1,"B","N",0,30,NA,"3"
2017-06-05 06:30:00,2017-06-05,1,"B","N",3,30,NA,"4"
2017-06-05 06:30:00,2017-06-05,1,"B","N",1,30,NA,"5"
2017-06-05 06:30:00,2017-06-05,1,"B","N",2,30,NA,"6"
2017-06-05 06:30:00,2017-06-05,1,"B","N",0,30,NA,"7"
2017-06-05 06:30:00,2017-06-05,1,"B","N",3,30,NA,"8"
2017-06-05 06:30:00,2017-06-05,1,"B","N",4,30,NA,"9"
2017-06-05 06:30:00,2017-06-05,1,"B","N",0,30,NA,"10"
2017-06-06 06:12:00,2017-06-06,2,"A","N",2,30,NA,"1"
2017-06-06 06:12:00,2017-06-06,2,"A","N",0,30,NA,"2"
2017-06-06 06:12:00,2017-06-06,2,"A","N",2,30,NA,"3"
2017-06-06 06:12:00,2017-06-06,2,"A","N",1,30,NA,"4"
2017-06-06 06:12:00,2017-06-06,2,"A","N",0,30,NA,"5"
2017-06-06 06:12:00,2017-06-06,2,"A","N",0,30,NA,"6"
2017-06-06 06:12:00,2017-06-06,2,"A","N",1,30,NA,"7"
2017-06-06 06:12:00,2017-06-06,2,"A","N",0,30,NA,"8"
2017-06-06 06:12:00,2017-06-06,2,"A","N",2,30,NA,"9"
2017-06-06 06:12:00,2017-06-06,2,"A","N",0,30,NA,"10"
2017-06-06 06:20:00,2017-06-06,2,"B","N",2,30,"G","1"
2017-06-06 06:20:00,2017-06-06,2,"B","N",0,30,"G","2"
2017-06-06 06:20:00,2017-06-06,2,"B","N",1,30,"W","3"
2017-06-06 06:20:00,2017-06-06,2,"B","N",4,30,"E","4"
2017-06-06 06:20:00,2017-06-06,2,"B","N",1,30,"G","5"
2017-06-06 06:20:00,2017-06-06,2,"B","N",0,30,"W","6"
2017-06-06 06:20:00,2017-06-06,2,"B","N",3,30,"W","7"
2017-06-06 06:20:00,2017-06-06,2,"B","N",5,30,"E","8"
2017-06-06 06:20:00,2017-06-06,2,"B","N",1,30,"W","9"
2017-06-06 06:20:00,2017-06-06,2,"B","N",1,30,NA,"10"
2017-06-07 06:35:00,2017-06-07,3,"A","N",0,30,"W","1"
2017-06-07 06:35:00,2017-06-07,3,"A","N",2,30,"W","2"
2017-06-07 06:35:00,2017-06-07,3,"A","N",0,30,"W","3"
2017-06-07 06:35:00,2017-06-07,3,"A","N",1,30,"G","4"
2017-06-07 06:35:00,2017-06-07,3,"A","N",0,30,"E","5"
2017-06-07 06:35:00,2017-06-07,3,"A","N",1,30,"G","6"
2017-06-07 06:35:00,2017-06-07,3,"A","N",1,30,"E","7"
2017-06-07 06:35:00,2017-06-07,3,"A","N",1,30,"E","8"
2017-06-07 06:35:00,2017-06-07,3,"A","N",0,30,"G","9"
2017-06-07 06:35:00,2017-06-07,3,"A","N",0,30,"G","10"
2017-06-07 06:18:00,2017-06-07,3,"B","N",0,30,"G","1"
2017-06-07 06:18:00,2017-06-07,3,"B","N",1,30,"G","2"
2017-06-07 06:18:00,2017-06-07,3,"B","N",1,30,"G","3"
2017-06-07 06:18:00,2017-06-07,3,"B","N",4,30,"E","4"
2017-06-07 06:18:00,2017-06-07,3,"B","N",2,30,"G","5"
2017-06-07 06:18:00,2017-06-07,3,"B","N",0,30,"W","6"
2017-06-07 06:18:00,2017-06-07,3,"B","N",2,30,"W","7"
2017-06-07 06:18:00,2017-06-07,3,"B","N",2,30,"E","8"
2017-06-07 06:18:00,2017-06-07,3,"B","N",4,30,"W","9"
2017-06-07 06:18:00,2017-06-07,3,"B","N",1,30,"E","10"
2017-06-08 05:50:00,2017-06-08,4,"A","N",0,30,"E","1"
2017-06-08 05:50:00,2017-06-08,4,"A","N",2,30,"E","2"
2017-06-08 05:50:00,2017-06-08,4,"A","N",1,30,"E","3"
2017-06-08 05:50:00,2017-06-08,4,"A","N",2,30,"G","4"
2017-06-08 05:50:00,2017-06-08,4,"A","N",2,30,"W","5"
2017-06-08 05:50:00,2017-06-08,4,"A","N",3,30,"G","6"
2017-06-08 05:50:00,2017-06-08,4,"A","N",0,30,"W","7"
2017-06-08 05:50:00,2017-06-08,4,"A","N",4,30,"W","8"
2017-06-08 05:50:00,2017-06-08,4,"A","N",2,30,"G","9"
2017-06-08 05:50:00,2017-06-08,4,"A","N",0,30,"G","10"
2017-06-08 06:06:00,2017-06-08,4,"B","N",0,30,"E","1"
2017-06-08 06:06:00,2017-06-08,4,"B","N",1,30,"E","2"
2017-06-08 06:06:00,2017-06-08,4,"B","N",1,30,"W","3"
2017-06-08 06:06:00,2017-06-08,4,"B","N",1,30,"G","4"
2017-06-08 06:06:00,2017-06-08,4,"B","N",0,30,"E","5"
2017-06-08 06:06:00,2017-06-08,4,"B","N",0,30,"W","6"
2017-06-08 06:06:00,2017-06-08,4,"B","N",3,30,"W","7"
2017-06-08 06:06:00,2017-06-08,4,"B","N",1,30,"G","8"
2017-06-08 06:06:00,2017-06-08,4,"B","N",5,30,"W","9"
2017-06-08 06:06:00,2017-06-08,4,"B","N",2,30,"G","10"
2017-06-09 06:33:00,2017-06-09,5,"A","N",3,30,"W","1"
2017-06-09 06:33:00,2017-06-09,5,"A","N",1,30,"W","2"
2017-06-09 06:33:00,2017-06-09,5,"A","N",3,30,"W","3"
2017-06-09 06:33:00,2017-06-09,5,"A","N",3,30,"E","4"
2017-06-09 06:33:00,2017-06-09,5,"A","N",3,30,"G","5"
2017-06-09 06:33:00,2017-06-09,5,"A","N",0,30,"G","6"
2017-06-09 06:33:00,2017-06-09,5,"A","N",1,30,"G","7"
2017-06-09 06:33:00,2017-06-09,5,"A","N",3,30,"G","8"
2017-06-09 06:33:00,2017-06-09,5,"A","N",0,30,"E","9"
2017-06-09 06:33:00,2017-06-09,5,"A","N",2,30,"E","10"
2017-06-09 06:18:00,2017-06-09,5,"B","N",1,30,"W","1"
2017-06-09 06:18:00,2017-06-09,5,"B","N",4,30,"W","2"
2017-06-09 06:18:00,2017-06-09,5,"B","N",1,30,"E","3"
2017-06-09 06:18:00,2017-06-09,5,"B","N",5,30,"G","4"
2017-06-09 06:18:00,2017-06-09,5,"B","N",3,30,"W","5"
2017-06-09 06:18:00,2017-06-09,5,"B","N",0,30,"E","6"
2017-06-09 06:18:00,2017-06-09,5,"B","N",3,30,"E","7"
2017-06-09 06:18:00,2017-06-09,5,"B","N",4,30,"G","8"
2017-06-09 06:18:00,2017-06-09,5,"B","N",3,30,"E","9"
2017-06-09 06:18:00,2017-06-09,5,"B","N",3,30,"G","10"
2017-06-10 06:28:00,2017-06-10,6,"A","N",2,30,"W","1"
2017-06-10 06:28:00,2017-06-10,6,"A","N",2,30,"W","2"
2017-06-10 06:28:00,2017-06-10,6,"A","N",1,30,"W","3"
2017-06-10 06:28:00,2017-06-10,6,"A","N",1,30,"G","4"
2017-06-10 06:28:00,2017-06-10,6,"A","N",3,30,"G","5"
2017-06-10 06:28:00,2017-06-10,6,"A","N",5,30,"E","6"
2017-06-10 06:28:00,2017-06-10,6,"A","N",2,30,"G","7"
2017-06-10 06:28:00,2017-06-10,6,"A","N",5,30,"G","8"
2017-06-10 06:28:00,2017-06-10,6,"A","N",0,30,"E","9"
2017-06-10 06:28:00,2017-06-10,6,"A","N",3,30,"E","10"
2017-06-10 06:40:00,2017-06-10,6,"B","Y",3,30,NA,"1"
2017-06-10 06:40:00,2017-06-10,6,"B","Y",1,30,NA,"2"
2017-06-10 06:40:00,2017-06-10,6,"B","Y",2,30,"G","3"
2017-06-10 06:40:00,2017-06-10,6,"B","Y",2,30,"E","4"
2017-06-10 06:40:00,2017-06-10,6,"B","Y",0,30,NA,"5"
2017-06-10 06:40:00,2017-06-10,6,"B","Y",1,30,"G","6"
2017-06-10 06:40:00,2017-06-10,6,"B","Y",2,30,"G","7"
2017-06-10 06:40:00,2017-06-10,6,"B","Y",3,30,"E","8"
2017-06-10 06:40:00,2017-06-10,6,"B","Y",4,30,"G","9"
2017-06-10 06:40:00,2017-06-10,6,"B","Y",3,30,"E","10"
2017-06-11 06:02:00,2017-06-11,7,"A","N",3,30,"E","1"
2017-06-11 06:02:00,2017-06-11,7,"A","N",2,30,"E","2"
2017-06-11 06:02:00,2017-06-11,7,"A","N",1,30,"G","3"
2017-06-11 06:02:00,2017-06-11,7,"A","N",1,30,"W","4"
2017-06-11 06:02:00,2017-06-11,7,"A","N",1,30,"E","5"
2017-06-11 06:02:00,2017-06-11,7,"A","N",5,30,"W","6"
2017-06-11 06:02:00,2017-06-11,7,"A","N",0,30,"G","7"
2017-06-11 06:02:00,2017-06-11,7,"A","N",2,30,"G","8"
2017-06-11 06:02:00,2017-06-11,7,"A","N",0,30,"W","9"
2017-06-11 06:02:00,2017-06-11,7,"A","N",1,30,"W","10"
2017-06-11 05:50:00,2017-06-11,7,"B","N",4,30,"G","1"
2017-06-11 05:50:00,2017-06-11,7,"B","N",2,30,"G","2"
2017-06-11 05:50:00,2017-06-11,7,"B","N",4,30,"G","3"
2017-06-11 05:50:00,2017-06-11,7,"B","N",0,30,"E","4"
2017-06-11 05:50:00,2017-06-11,7,"B","N",5,30,"G","5"
2017-06-11 05:50:00,2017-06-11,7,"B","N",1,30,"W","6"
2017-06-11 05:50:00,2017-06-11,7,"B","N",1,30,"W","7"
2017-06-11 05:50:00,2017-06-11,7,"B","N",2,30,"E","8"
2017-06-11 05:50:00,2017-06-11,7,"B","N",1,30,"W","9"
2017-06-11 05:50:00,2017-06-11,7,"B","N",1,30,"E","10"
2017-06-12 06:02:00,2017-06-12,8,"A","N",5,30,"W","1"
2017-06-12 06:02:00,2017-06-12,8,"A","N",3,30,"W","2"
2017-06-12 06:02:00,2017-06-12,8,"A","N",0,30,"E","3"
2017-06-12 06:02:00,2017-06-12,8,"A","N",3,30,"E","4"
2017-06-12 06:02:00,2017-06-12,8,"A","N",1,30,"W","5"
2017-06-12 06:02:00,2017-06-12,8,"A","N",6,30,"E","6"
2017-06-12 06:02:00,2017-06-12,8,"A","N",3,30,"W","7"
2017-06-12 06:02:00,2017-06-12,8,"A","N",2,30,"W","8"
2017-06-12 06:02:00,2017-06-12,8,"A","N",1,30,"E","9"
2017-06-12 06:02:00,2017-06-12,8,"A","N",3,30,"E","10"
2017-06-12 06:17:00,2017-06-12,8,"B","N",0,30,"W","1"
2017-06-12 06:17:00,2017-06-12,8,"B","N",1,30,"W","2"
2017-06-12 06:17:00,2017-06-12,8,"B","N",1,30,"W","3"
2017-06-12 06:17:00,2017-06-12,8,"B","N",2,30,"E","4"
2017-06-12 06:17:00,2017-06-12,8,"B","N",0,30,"W","5"
2017-06-12 06:17:00,2017-06-12,8,"B","N",2,30,"W","6"
2017-06-12 06:17:00,2017-06-12,8,"B","N",0,30,"E","7"
2017-06-12 06:17:00,2017-06-12,8,"B","N",2,30,"E","8"
2017-06-12 06:17:00,2017-06-12,8,"B","N",4,30,"E","9"
2017-06-12 06:17:00,2017-06-12,8,"B","N",0,30,"E","10"
2017-06-13 06:22:00,2017-06-13,9,"A","N",7,30,"W","1"
2017-06-13 06:22:00,2017-06-13,9,"A","N",3,30,"W","2"
2017-06-13 06:22:00,2017-06-13,9,"A","N",0,30,"W","3"
2017-06-13 06:22:00,2017-06-13,9,"A","N",3,30,"E","4"
2017-06-13 06:22:00,2017-06-13,9,"A","N",1,30,"G","5"
2017-06-13 06:22:00,2017-06-13,9,"A","N",0,30,"E","6"
2017-06-13 06:22:00,2017-06-13,9,"A","N",0,30,"G","7"
2017-06-13 06:22:00,2017-06-13,9,"A","N",3,30,"G","8"
2017-06-13 06:22:00,2017-06-13,9,"A","N",2,30,"E","9"
2017-06-13 06:22:00,2017-06-13,9,"A","N",2,30,"E","10"
2017-06-13 06:12:00,2017-06-13,9,"B","N",1,30,"E","1"
2017-06-13 06:12:00,2017-06-13,9,"B","N",2,30,"E","2"
2017-06-13 06:12:00,2017-06-13,9,"B","N",0,30,"W","3"
2017-06-13 06:12:00,2017-06-13,9,"B","N",3,30,"G","4"
2017-06-13 06:12:00,2017-06-13,9,"B","N",1,30,"E","5"
2017-06-13 06:12:00,2017-06-13,9,"B","N",1,30,"W","6"
2017-06-13 06:12:00,2017-06-13,9,"B","N",1,30,"G","7"
2017-06-13 06:12:00,2017-06-13,9,"B","N",1,30,"G","8"
2017-06-13 06:12:00,2017-06-13,9,"B","N",1,30,"W","9"
2017-06-13 06:12:00,2017-06-13,9,"B","N",0,30,"G","10"
2017-06-14 06:10:00,2017-06-14,10,"A","N",4,30,"W","1"
2017-06-14 06:10:00,2017-06-14,10,"A","N",6,30,"W","2"
2017-06-14 06:10:00,2017-06-14,10,"A","N",3,30,"W","3"
2017-06-14 06:10:00,2017-06-14,10,"A","N",3,30,"E","4"
2017-06-14 06:10:00,2017-06-14,10,"A","N",2,30,"G","5"
2017-06-14 06:10:00,2017-06-14,10,"A","N",0,30,"G","6"
2017-06-14 06:10:00,2017-06-14,10,"A","N",1,30,"G","7"
2017-06-14 06:10:00,2017-06-14,10,"A","N",1,30,"G","8"
2017-06-14 06:10:00,2017-06-14,10,"A","N",3,30,"E","9"
2017-06-14 06:10:00,2017-06-14,10,"A","N",4,30,"E","10"
2017-06-14 06:25:00,2017-06-14,10,"B","N",3,30,"E","1"
2017-06-14 06:25:00,2017-06-14,10,"B","N",4,30,"E","2"
2017-06-14 06:25:00,2017-06-14,10,"B","N",0,30,"G","3"
2017-06-14 06:25:00,2017-06-14,10,"B","N",4,30,"W","4"
2017-06-14 06:25:00,2017-06-14,10,"B","N",1,30,"E","5"
2017-06-14 06:25:00,2017-06-14,10,"B","N",1,30,"G","6"
2017-06-14 06:25:00,2017-06-14,10,"B","N",0,30,"G","7"
2017-06-14 06:25:00,2017-06-14,10,"B","N",1,30,"W","8"
2017-06-14 06:25:00,2017-06-14,10,"B","N",1,30,"G","9"
2017-06-14 06:25:00,2017-06-14,10,"B","N",2,30,"W","10"
2017-06-15 06:36:00,2017-06-15,11,"A","N",4,30,"E","1"
2017-06-15 06:36:00,2017-06-15,11,"A","N",3,30,"E","2"
2017-06-15 06:36:00,2017-06-15,11,"A","N",1,30,"G","3"
2017-06-15 06:36:00,2017-06-15,11,"A","N",0,30,"G","4"
2017-06-15 06:36:00,2017-06-15,11,"A","N",0,30,"E","5"
2017-06-15 06:36:00,2017-06-15,11,"A","N",1,30,"G","6"
2017-06-15 06:36:00,2017-06-15,11,"A","N",3,30,"E","7"
2017-06-15 06:36:00,2017-06-15,11,"A","N",1,30,"E","8"
2017-06-15 06:36:00,2017-06-15,11,"A","N",3,30,"G","9"
2017-06-15 06:36:00,2017-06-15,11,"A","N",3,30,"G","10"
2017-06-15 06:22:00,2017-06-15,11,"B","N",1,30,"E","1"
2017-06-15 06:22:00,2017-06-15,11,"B","N",2,30,"E","2"
2017-06-15 06:22:00,2017-06-15,11,"B","N",1,30,"E","3"
2017-06-15 06:22:00,2017-06-15,11,"B","N",1,30,"G","4"
2017-06-15 06:22:00,2017-06-15,11,"B","N",1,30,"E","5"
2017-06-15 06:22:00,2017-06-15,11,"B","N",3,30,"E","6"
2017-06-15 06:22:00,2017-06-15,11,"B","N",0,30,"G","7"
2017-06-15 06:22:00,2017-06-15,11,"B","N",2,30,"G","8"
2017-06-15 06:22:00,2017-06-15,11,"B","N",3,30,"G","9"
2017-06-15 06:22:00,2017-06-15,11,"B","N",2,30,"G","10"
2017-06-16 06:17:00,2017-06-16,12,"A","N",2,30,"G","1"
2017-06-16 06:17:00,2017-06-16,12,"A","N",1,30,"G","2"
2017-06-16 06:17:00,2017-06-16,12,"A","N",4,30,"E","3"
2017-06-16 06:17:00,2017-06-16,12,"A","N",2,30,"E","4"
2017-06-16 06:17:00,2017-06-16,12,"A","N",1,30,"G","5"
2017-06-16 06:17:00,2017-06-16,12,"A","N",1,30,"E","6"
2017-06-16 06:17:00,2017-06-16,12,"A","N",1,30,"G","7"
2017-06-16 06:17:00,2017-06-16,12,"A","N",2,30,"G","8"
2017-06-16 06:17:00,2017-06-16,12,"A","N",1,30,"E","9"
2017-06-16 06:17:00,2017-06-16,12,"A","N",0,30,"E","10"
2017-06-16 06:36:00,2017-06-16,12,"B","N",1,30,"E","1"
2017-06-16 06:36:00,2017-06-16,12,"B","N",0,30,"E","2"
2017-06-16 06:36:00,2017-06-16,12,"B","N",2,30,"E","3"
2017-06-16 06:36:00,2017-06-16,12,"B","N",0,30,"G","4"
2017-06-16 06:36:00,2017-06-16,12,"B","N",1,30,"E","5"
2017-06-16 06:36:00,2017-06-16,12,"B","N",0,30,"G","6"
2017-06-16 06:36:00,2017-06-16,12,"B","N",0,30,"G","7"
2017-06-16 06:36:00,2017-06-16,12,"B","N",0,30,"G","8"
2017-06-16 06:36:00,2017-06-16,12,"B","N",1,30,"G","9"
2017-06-16 06:36:00,2017-06-16,12,"B","N",2,30,"G","10"
2017-06-17 06:28:00,2017-06-17,13,"A","N",0,30,"G","1"
2017-06-17 06:28:00,2017-06-17,13,"A","N",1,30,"G","2"
2017-06-17 06:28:00,2017-06-17,13,"A","N",1,30,"E","3"
2017-06-17 06:28:00,2017-06-17,13,"A","N",1,30,"E","4"
2017-06-17 06:28:00,2017-06-17,13,"A","N",0,30,"G","5"
2017-06-17 06:28:00,2017-06-17,13,"A","N",2,30,"E","6"
2017-06-17 06:28:00,2017-06-17,13,"A","N",2,30,"G","7"
2017-06-17 06:28:00,2017-06-17,13,"A","N",0,30,"G","8"
2017-06-17 06:28:00,2017-06-17,13,"A","N",2,30,"E","9"
2017-06-17 06:28:00,2017-06-17,13,"A","N",1,30,"E","10"
2017-06-17 06:14:00,2017-06-17,13,"B","N",3,30,"E","1"
2017-06-17 06:14:00,2017-06-17,13,"B","N",1,30,"E","2"
2017-06-17 06:14:00,2017-06-17,13,"B","N",1,30,"E","3"
2017-06-17 06:14:00,2017-06-17,13,"B","N",1,30,"G","4"
2017-06-17 06:14:00,2017-06-17,13,"B","N",1,30,"E","5"
2017-06-17 06:14:00,2017-06-17,13,"B","N",2,30,"E","6"
2017-06-17 06:14:00,2017-06-17,13,"B","N",1,30,"G","7"
2017-06-17 06:14:00,2017-06-17,13,"B","N",4,30,"G","8"
2017-06-17 06:14:00,2017-06-17,13,"B","N",2,30,"G","9"
2017-06-17 06:14:00,2017-06-17,13,"B","N",3,30,"G","10"
2017-06-18 06:17:00,2017-06-18,14,"A","N",4,30,"E","1"
2017-06-18 06:17:00,2017-06-18,14,"A","N",2,30,"E","2"
2017-06-18 06:17:00,2017-06-18,14,"A","N",1,30,"E","3"
2017-06-18 06:17:00,2017-06-18,14,"A","N",0,30,"E","4"
2017-06-18 06:17:00,2017-06-18,14,"A","N",0,30,"E","5"
2017-06-18 06:17:00,2017-06-18,14,"A","N",2,30,"E","6"
2017-06-18 06:17:00,2017-06-18,14,"A","N",7,30,"E","7"
2017-06-18 06:17:00,2017-06-18,14,"A","N",0,30,"E","8"
2017-06-18 06:17:00,2017-06-18,14,"A","N",2,30,"E","9"
2017-06-18 06:17:00,2017-06-18,14,"A","N",3,30,"E","10"
2017-06-18 06:17:00,2017-06-18,14,"B","N",0,30,"W","1"
2017-06-18 06:17:00,2017-06-18,14,"B","N",2,30,"W","2"
2017-06-18 06:17:00,2017-06-18,14,"B","N",0,30,"W","3"
2017-06-18 06:17:00,2017-06-18,14,"B","N",1,30,"W","4"
2017-06-18 06:17:00,2017-06-18,14,"B","N",1,30,"W","5"
2017-06-18 06:17:00,2017-06-18,14,"B","N",1,30,"W","6"
2017-06-18 06:17:00,2017-06-18,14,"B","N",3,30,"W","7"
2017-06-18 06:17:00,2017-06-18,14,"B","N",0,30,"W","8"
2017-06-18 06:17:00,2017-06-18,14,"B","N",2,30,"W","9"
2017-06-18 06:17:00,2017-06-18,14,"B","N",2,30,"W","10"
2017-06-19 06:15:00,2017-06-19,15,"A","N",6,30,"W","1"
2017-06-19 06:15:00,2017-06-19,15,"A","N",2,30,"W","2"
2017-06-19 06:15:00,2017-06-19,15,"A","N",1,30,"E","3"
2017-06-19 06:15:00,2017-06-19,15,"A","N",2,30,"G","4"
2017-06-19 06:15:00,2017-06-19,15,"A","N",2,30,"G","5"
2017-06-19 06:15:00,2017-06-19,15,"A","N",4,30,"E","6"
2017-06-19 06:15:00,2017-06-19,15,"A","N",1,30,"G","7"
2017-06-19 06:15:00,2017-06-19,15,"A","N",1,30,"G","8"
2017-06-19 06:15:00,2017-06-19,15,"A","N",2,30,"E","9"
2017-06-19 06:15:00,2017-06-19,15,"A","N",1,30,"E","10"
2017-06-19 06:35:00,2017-06-19,15,"B","N",2,30,"E","1"
2017-06-19 06:35:00,2017-06-19,15,"B","N",1,30,"E","2"
2017-06-19 06:35:00,2017-06-19,15,"B","N",3,30,"W","3"
2017-06-19 06:35:00,2017-06-19,15,"B","N",1,30,"G","4"
2017-06-19 06:35:00,2017-06-19,15,"B","N",1,30,"E","5"
2017-06-19 06:35:00,2017-06-19,15,"B","N",2,30,"W","6"
2017-06-19 06:35:00,2017-06-19,15,"B","N",1,30,"W","7"
2017-06-19 06:35:00,2017-06-19,15,"B","N",4,30,"G","8"
2017-06-19 06:35:00,2017-06-19,15,"B","N",1,30,"W","9"
2017-06-19 06:35:00,2017-06-19,15,"B","N",1,30,"G","10"
2017-06-20 06:27:00,2017-06-20,16,"A","N",4,30,"W","1"
2017-06-20 06:27:00,2017-06-20,16,"A","N",2,30,"W","2"
2017-06-20 06:27:00,2017-06-20,16,"A","N",1,30,"W","3"
2017-06-20 06:27:00,2017-06-20,16,"A","N",1,30,"E","4"
2017-06-20 06:27:00,2017-06-20,16,"A","N",1,30,"G","5"
2017-06-20 06:27:00,2017-06-20,16,"A","N",2,30,"E","6"
2017-06-20 06:27:00,2017-06-20,16,"A","N",4,30,"G","7"
2017-06-20 06:27:00,2017-06-20,16,"A","N",3,30,"G","8"
2017-06-20 06:27:00,2017-06-20,16,"A","N",0,30,"E","9"
2017-06-20 06:27:00,2017-06-20,16,"A","N",0,30,"E","10"
2017-06-20 06:13:00,2017-06-20,16,"B","N",2,30,"W","1"
2017-06-20 06:13:00,2017-06-20,16,"B","N",4,30,"W","2"
2017-06-20 06:13:00,2017-06-20,16,"B","N",3,30,"E","3"
2017-06-20 06:13:00,2017-06-20,16,"B","N",0,30,"G","4"
2017-06-20 06:13:00,2017-06-20,16,"B","N",3,30,"W","5"
2017-06-20 06:13:00,2017-06-20,16,"B","N",2,30,"E","6"
2017-06-20 06:13:00,2017-06-20,16,"B","N",0,30,"G","7"
2017-06-20 06:13:00,2017-06-20,16,"B","N",1,30,"G","8"
2017-06-20 06:13:00,2017-06-20,16,"B","N",2,30,"E","9"
2017-06-20 06:13:00,2017-06-20,16,"B","N",3,30,"G","10"
2017-06-21 06:15:00,2017-06-21,17,"A","N",7,30,"E","1"
2017-06-21 06:15:00,2017-06-21,17,"A","N",0,30,"E","2"
2017-06-21 06:15:00,2017-06-21,17,"A","N",2,30,"E","3"
2017-06-21 06:15:00,2017-06-21,17,"A","N",3,30,"G","4"
2017-06-21 06:15:00,2017-06-21,17,"A","N",1,30,"W","5"
2017-06-21 06:15:00,2017-06-21,17,"A","N",2,30,"G","6"
2017-06-21 06:15:00,2017-06-21,17,"A","N",6,30,"W","7"
2017-06-21 06:15:00,2017-06-21,17,"A","N",4,30,"W","8"
2017-06-21 06:15:00,2017-06-21,17,"A","N",1,30,"G","9"
2017-06-21 06:15:00,2017-06-21,17,"A","N",0,30,"G","10"
2017-06-21 06:32:00,2017-06-21,17,"B","N",2,30,"G","1"
2017-06-21 06:32:00,2017-06-21,17,"B","N",1,30,"G","2"
2017-06-21 06:32:00,2017-06-21,17,"B","N",1,30,"W","3"
2017-06-21 06:32:00,2017-06-21,17,"B","N",0,30,"E","4"
